Week ,Week Ending,Season,Positive,Influenza A,Influenza B,Influenza Type Not Specified,Row ID
1,1/7/2012,2011-2012,17,8,7,2,1201
2,1/14/2012,2011-2012,37,29,8,0,1202
3,1/21/2012,2011-2012,34,15,17,2,1203
4,1/28/2012,2011-2012,37,22,13,2,1204
5,2/4/2012,2011-2012,62,47,15,0,1205
6,2/11/2012,2011-2012,78,62,12,4,1206
7,2/18/2012,2011-2012,114,96,15,3,1207
8,2/25/2012,2011-2012,166,145,18,3,1208
9,3/3/2012,2011-2012,130,114,16,0,1209
10,3/10/2012,2011-2012,249,216,27,6,1210
11,3/17/2012,2011-2012,338,290,47,1,1211
12,3/24/2012,2011-2012,446,376,69,1,1212
13,3/31/2012,2011-2012,327,257,70,0,1213
14,4/7/2012,2011-2012,228,183,44,1,1214
15,4/14/2012,2011-2012,316,235,78,3,1215
16,4/21/2012,2011-2012,325,236,86,3,1216
17,4/28/2012,2011-2012,235,164,69,2,1217
18,5/5/2012,2011-2012,260,175,83,2,1218
19,5/12/2012,2011-2012,268,172,94,2,1219
20,5/19/2012,2011-2012,182,117,64,1,1220
40,10/6/2012,2012-2013,10,6,4,0,1240
41,10/13/2012,2012-2013,17,8,7,2,1241
42,10/20/2012,2012-2013,35,28,7,0,1242
43,10/27/2012,2012-2013,57,51,6,0,1243
44,11/3/2012,2012-2013,49,37,11,1,1244
45,11/10/2012,2012-2013,137,123,14,0,1245
46,11/17/2012,2012-2013,299,280,19,0,1246
47,11/24/2012,2012-2013,492,468,24,0,1247
48,12/1/2012,2012-2013,1064,1026,38,0,1248
49,12/8/2012,2012-2013,1791,1704,83,4,1249
50,12/15/2012,2012-2013,2793,2692,96,5,1250
51,12/22/2012,2012-2013,3973,3829,142,2,1251
52,12/29/2012,2012-2013,4347,4137,201,9,1252
1,1/5/2013,2012-2013,4089,3902,182,5,1301
2,1/12/2013,2012-2013,4370,4097,260,13,1302
3,1/19/2013,2012-2013,5289,4808,436,45,1303
4,1/26/2013,2012-2013,2986,2499,452,35,1304
5,2/2/2013,2012-2013,2185,1655,495,35,1305
6,2/9/2013,2012-2013,1604,994,591,19,1306
7,2/16/2013,2012-2013,1460,620,824,16,1307
8,2/23/2013,2012-2013,1232,399,812,21,1308
9,3/2/2013,2012-2013,1159,285,858,16,1309
10,3/9/2013,2012-2013,996,211,770,15,1310
11,3/16/2013,2012-2013,989,155,820,14,1311
12,3/23/2013,2012-2013,961,134,823,4,1312
13,3/30/2013,2012-2013,908,82,819,7,1313
14,4/6/2013,2012-2013,720,82,631,7,1314
15,4/13/2013,2012-2013,521,47,472,2,1315
16,4/20/2013,2012-2013,319,32,287,0,1316
17,4/27/2013,2012-2013,205,22,180,3,1317
18,5/4/2013,2012-2013,162,28,133,1,1318
19,5/11/2013,2012-2013,106,18,87,1,1319
20,5/18/2013,2012-2013,79,9,70,0,1320
40,10/5/2013,2013-2014,22,17,5,0,1340
41,10/12/2013,2013-2014,22,16,5,1,1341
42,10/19/2013,2013-2014,23,15,8,0,1342
43,10/26/2013,2013-2014,21,14,5,2,1343
44,11/2/2013,2013-2014,30,24,5,1,1344
45,11/9/2013,2013-2014,40,25,13,2,1345
46,11/16/2013,2013-2014,59,43,15,1,1346
47,11/23/2013,2013-2014,59,42,12,5,1347
48,11/30/2013,2013-2014,80,69,11,0,1348
49,12/7/2013,2013-2014,183,160,17,6,1349
50,12/14/2013,2013-2014,282,268,12,2,1350
51,12/21/2013,2013-2014,559,537,15,7,1351
52,12/28/2013,2013-2014,1214,1175,30,9,1352
1,1/4/2014,2013-2014,1580,1544,26,10,1401
2,1/11/2014,2013-2014,2122,2077,34,11,1402
3,1/18/2014,2013-2014,2786,2716,50,20,1403
4,1/25/2014,2013-2014,2667,2620,35,12,1404
5,2/1/2014,2013-2014,2390,2299,76,15,1405
6,2/8/2014,2013-2014,2215,2083,121,11,1406
7,2/15/2014,2013-2014,1736,1589,139,8,1407
8,2/22/2014,2013-2014,1280,1077,192,11,1408
9,3/1/2014,2013-2014,1047,825,215,7,1409
10,3/8/2014,2013-2014,1060,708,342,10,1410
11,3/15/2014,2013-2014,1275,632,635,8,1411
12,3/22/2014,2013-2014,1527,626,893,8,1412
13,3/29/2014,2013-2014,2117,752,1345,20,1413
14,4/5/2014,2013-2014,2592,956,1618,18,1414
15,4/12/2014,2013-2014,2562,929,1619,14,1415
16,4/19/2014,2013-2014,1908,695,1204,9,1416
17,4/26/2014,2013-2014,1236,422,806,8,1417
18,5/3/2014,2013-2014,928,323,602,3,1418
19,5/10/2014,2013-2014,614,196,416,2,1419
20,5/17/2014,2013-2014,422,156,265,1,1420
40,10/4/2014,2014-2015,19,10,8,1,1440
41,10/11/2014,2014-2015,29,15,13,1,1441
42,10/18/2014,2014-2015,48,28,16,4,1442
43,10/25/2014,2014-2015,37,24,12,1,1443
44,11/1/2014,2014-2015,52,34,17,1,1444
45,11/8/2014,2014-2015,64,48,14,2,1445
46,11/15/2014,2014-2015,79,63,14,2,1446
47,11/22/2014,2014-2015,120,94,23,3,1447
48,11/29/2014,2014-2015,189,163,25,1,1448
49,12/6/2014,2014-2015,396,384,11,1,1449
50,12/13/2014,2014-2015,813,768,35,10,1450
51,12/20/2014,2014-2015,2117,2070,37,10,1451
52,12/27/2014,2014-2015,4065,3989,61,15,1452
1,1/10/2015,2014-2015,4404,4275,99,30,1501
2,1/17/2015,2014-2015,4220,4084,117,19,1502
3,1/24/2015,2014-2015,5096,4922,146,28,1503
4,1/31/2015,2014-2015,4857,4673,170,14,1504
5,2/7/2015,2014-2015,3908,3617,257,34,1505
6,2/14/2015,2014-2015,3213,2902,295,16,1506
7,2/21/2015,2014-2015,2127,1814,302,11,1507
8,2/28/2015,2014-2015,1476,1154,315,7,1508
9,3/7/2015,2014-2015,1173,806,357,10,1509
10,3/14/2015,2014-2015,1157,608,544,5,1510
11,3/21/2015,2014-2015,1122,451,667,4,1511
12,3/28/2015,2014-2015,1224,375,846,3,1512
13,4/4/2015,2014-2015,1062,238,823,1,1513
14,4/11/2015,2014-2015,927,156,770,1,1514
15,4/18/2015,2014-2015,690,94,594,2,1515
16,4/25/2015,2014-2015,449,65,383,1,1516
17,5/2/2015,2014-2015,321,50,269,2,1517
18,5/9/2015,2014-2015,228,45,180,3,1518
19,5/16/2015,2014-2015,141,22,119,0,1519
20,5/23/2015,2014-2015,73,18,54,1,1520
40,10/10/2015,2015-2016,27,17,10,0,1540
41,10/17/2015,2015-2016,29,16,11,2,1541
42,10/24/2015,2015-2016,34,18,14,2,1542
43,10/31/2015,2015-2016,44,30,12,2,1543
44,11/7/2015,2015-2016,38,21,14,3,1544
45,11/14/2015,2015-2016,48,28,16,4,1545
46,11/21/2015,2015-2016,50,30,18,2,1546
47,11/28/2015,2015-2016,57,40,14,3,1547
48,12/5/2015,2015-2016,63,40,20,3,1548
49,12/12/2015,2015-2016,66,34,25,7,1549
50,12/19/2015,2015-2016,75,44,24,7,1550
51,12/26/2015,2015-2016,87,52,31,4,1551
52,1/2/2016,2015-2016,96,71,22,3,1552
1,1/9/2016,2015-2016,173,131,33,9,1601
2,1/16/2016,2015-2016,240,196,42,2,1602
3,1/23/2016,2015-2016,412,360,43,9,1603
4,1/30/2016,2015-2016,587,510,70,7,1604
5,2/6/2016,2015-2016,1039,947,88,4,1605
6,2/13/2016,2015-2016,1731,1535,181,15,1606
7,2/20/2016,2015-2016,2512,2238,246,28,1607
8,2/27/2016,2015-2016,3891,3458,406,27,1608
9,3/5/2016,2015-2016,5115,4465,631,19,1609
10,3/12/2016,2015-2016,6422,5453,928,41,1610
11,3/19/2016,2015-2016,6111,4932,1148,31,1611
12,3/26/2016,2015-2016,4510,3323,1164,23,1612
13,4/2/2016,2015-2016,3740,2496,1225,19,1613
14,4/9/2016,2015-2016,2599,1483,1103,13,1614
15,4/16/2016,2015-2016,2172,1025,1136,11,1615
16,4/23/2016,2015-2016,1999,779,1200,20,1616
17,4/30/2016,2015-2016,1604,486,1112,6,1617
18,5/7/2016,2015-2016,1143,310,825,8,1618
19,5/14/2016,2015-2016,735,170,560,5,1619
20,5/21/2016,2015-2016,571,115,445,11,1620
40,10/8/2016,2016-2017,35,22,10,3,1640
41,10/15/2016,2016-2017,53,38,14,1,1641
42,10/22/2016,2016-2017,44,23,21,0,1642
43,10/29/2016,2016-2017,41,33,8,0,1643
44,11/5/2016,2016-2017,91,71,18,2,1644
45,11/12/2016,2016-2017,77,65,11,1,1645
46,11/19/2016,2016-2017,114,91,21,2,1646
47,11/26/2016,2016-2017,172,140,29,3,1647
48,12/3/2016,2016-2017,273,240,28,5,1648
49,12/10/2016,2016-2017,351,305,44,2,1649
50,12/17/2016,2016-2017,601,543,51,7,1650
51,12/24/2016,2016-2017,1458,1365,78,15,1651
52,12/31/2016,2016-2017,2782,2634,115,33,1652
1,1/7/2017,2016-2017,3013,2806,188,19,1701
2,1/14/2017,2016-2017,3393,3166,191,36,1702
3,1/21/2017,2016-2017,4353,4075,233,45,1703
4,1/28/2017,2016-2017,5232,4844,349,39,1704
5,2/4/2017,2016-2017,5336,4845,445,46,1705
6,2/11/2017,2016-2017,6074,5417,605,52,1706
7,2/18/2017,2016-2017,5570,4689,853,28,1707
8,2/25/2017,2016-2017,5234,4261,950,23,1708
9,3/4/2017,2016-2017,3135,2249,874,12,1709
10,3/11/2017,2016-2017,2296,1515,766,15,1710
11,3/18/2017,2016-2017,1971,1007,955,9,1711
12,3/25/2017,2016-2017,2358,949,1391,18,1712
13,4/1/2017,2016-2017,2612,802,1796,14,1713
14,4/8/2017,2016-2017,2793,629,2149,15,1714
15,4/15/2017,2016-2017,2219,383,1829,7,1715
16,4/22/2017,2016-2017,1392,189,1196,7,1716
17,4/29/2017,2016-2017,783,128,651,4,1717
18,5/6/2017,2016-2017,430,65,360,5,1718
19,5/13/2017,2016-2017,247,38,206,3,1719
20,5/20/2017,2016-2017,187,38,146,3,1720
