Week,Total
2012-1,1.735
2012-2,1.553
2012-3,1.632
2012-4,1.762
2012-5,1.938
2012-6,1.911
2012-7,2.106
2012-8,2.243
2012-9,2.223
2012-10,2.175
2012-11,2.387
2012-12,1.968
2012-13,1.856
2012-14,1.702
2012-15,1.539
2012-16,1.381
2012-17,1.296
2012-18,1.397
2012-19,1.347
2012-20,1.233
2012-21,1.232
2012-22,1.269
2012-23,1.118
2012-24,1.095
2012-25,1.108
2012-26,1.1
2012-27,1.124
2012-28,1.015
2012-29,0.94
2012-30,0.96
2012-31,1
2012-32,0.935
2012-33,0.866
2012-34,1.063
2012-35,1.111
2012-36,1.2
2012-37,1.098
2012-38,0.992
2012-39,1.143
2012-40,1.22
2012-41,1.349
2012-42,1.337
2012-43,1.379
2012-44,1.485
2012-45,1.65
2012-46,1.768
2012-47,2.307
2012-48,2.159
2012-49,2.841
2012-50,3.426
2012-51,4.315
2012-52,6.068
2013-1,4.652
2013-2,4.327
2013-3,4.515
2013-4,4.221
2013-5,3.793
2013-6,3.26
2013-7,3.023
2013-8,2.715
2013-9,2.485
2013-10,2.522
2013-11,2.395
2013-12,2.068
2013-13,1.903
2013-14,1.66
2013-15,1.434
2013-16,1.277
2013-17,1.195
2013-18,1.091
2013-19,1.068
2013-20,1.073
2013-21,1
2013-22,1.041
2013-23,0.916
2013-24,0.904
2013-25,0.904
2013-26,0.823
2013-27,0.852
2013-28,0.726
2013-29,0.733
2013-30,0.74
2013-31,0.707
2013-32,0.771
2013-33,0.784
2013-34,0.768
2013-35,0.91
2013-36,0.98
2013-37,0.969
2013-38,0.972
2013-39,0.972
2013-40,1.152
2013-41,1.268
2013-42,1.312
2013-43,1.365
2013-44,1.463
2013-45,1.576
2013-46,1.599
2013-47,1.72
2013-48,2.109
2013-49,2.166
2013-50,2.371
2013-51,3.18
2013-52,4.597
2014-1,4.291
2014-2,3.572
2014-3,3.368
2014-4,3.398
2014-5,3.118
2014-6,2.813
2014-7,2.485
2014-8,2.274
2014-9,2.068
2014-10,1.983
2014-11,1.817
2014-12,1.82
2014-13,1.755
2014-14,1.746
2014-15,1.673
2014-16,1.518
2014-17,1.448
2014-18,1.292
2014-19,1.374
2014-20,1.343
2014-21,1.347
2014-22,1.215
2014-23,1.208
2014-24,1.14
2014-25,1.071
2014-26,1.122
2014-27,0.941
2014-28,0.944
2014-29,0.941
2014-30,0.822
2014-31,0.845
2014-32,0.75
2014-33,0.765
2014-34,0.766
2014-35,0.852
2014-36,0.982
2014-37,1.146
2014-38,1.149
2014-39,1.107
2014-40,1.18
2014-41,1.34
2014-42,1.39
2014-43,1.44
2014-44,1.44
2014-45,1.65
2014-46,1.64
2014-47,2.09
2014-48,2.58
2014-49,2.57
2014-50,3.65
2014-51,4.96
2014-52,5.99
2014-53,5.51
2015-1,4.23
2015-2,4.25
2015-3,4.25
2015-4,3.96
2015-5,3.62
2015-6,3.25
2015-7,2.97
2015-8,2.58
2015-9,2.51
2015-10,2.4
2015-11,2.21
2015-12,2.08
2015-13,1.99
2015-14,1.76
2015-15,1.58
2015-16,1.4
2015-17,1.49
2015-18,1.42
2015-19,1.38
2015-20,1.29
2015-21,1.26
2015-22,1.23
2015-23,1.11
2015-24,0.98
2015-25,0.98
2015-26,0.99
2015-27,0.9
2015-28,0.84
2015-29,0.79
2015-30,0.76
2015-31,0.79
2015-32,0.81
2015-33,0.85
2015-34,0.85
2015-35,0.92
2015-36,0.96
2015-37,1.1
2015-38,1.18
2015-39,1.12
2015-40,1.2
2015-41,1.3
2015-42,1.4
2015-43,1.4
2015-44,1.4
2015-45,1.5
2015-46,1.6
2015-47,1.9
2015-48,1.7
2015-49,1.8
2015-50,1.9
2015-51,2.3
2015-52,2.4
2016-1,2
2016-2,2
2016-3,2.1
2016-4,2.2
2016-5,2.4
2016-6,2.8
2016-7,3.1
2016-8,3.1
2016-9,3.3
2016-10,3.5
2016-11,3.1
2016-12,2.8
2016-13,2.4
2016-14,2
2016-15,2
2016-16,1.9
2016-17,1.7
2016-18,1.6
2016-19,1.4
2016-20,1.3
2016-21,1.2
2016-22,1.1
2016-23,1
2016-24,1
2016-25,0.9
2016-26,0.8
2016-27,0.8
2016-28,0.7
2016-29,0.7
2016-30,0.7
2016-31,0.7
2016-32,0.7
2016-33,0.7
2016-34,0.8
2016-35,1
2016-36,1
2016-37,1.1
2016-38,1.1
2016-39,1.3
2016-40,1.2
2016-41,1.2
2016-42,1.3
2016-43,1.4
2016-44,1.5
2016-45,1.6
2016-46,1.6
2016-47,1.9
2016-48,1.8
2016-49,1.9
2016-50,2.2
2016-51,2.7
2016-52,3.4
2017-1,3.1
2017-2,3.1
2017-3,3.5
2017-4,3.8
2017-5,4.4
2017-6,5.1
2017-7,4.9
2017-8,4.6
2017-9,3.6
2017-10,3.5
2017-11,3.2
2017-12,3.1
2017-13,2.8
2017-14,2.4
2017-15,2
2017-16,1.8
2017-17,1.6
2017-18,1.6
